txtid	date	year	settlement	county	from	to	soc.stat	hit
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Pénzről  ír kegyelmed,  || ím, kegyelmednek a kegyelmed jobbágyától küldtem pénzt,  || kivel Kurak adósa maradt volt,  || mind pedig a széna árát,  ||a kegyelmed részét || <aki [...]>  ||eladhattam eddig, || de hiszem,  || hogy még eladhatok benne,  || de az áruló, a juhászunk annyi szénát etet meg eddig,  || hogy sok dolog bizony,  || minap Remenyiket megverettem érte.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[!<A  bort is megírtam kegyelmednek,  || mire ment.>  || Ha lehet,  || kegyelmednek két hétre meg is küldöm az árát.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[!<A  bort is megírtam kegyelmednek,  || mire ment.>  || Ha lehet,  || kegyelmednek két hétre meg is küldöm az árát.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[!<A  bort is megírtam kegyelmednek,  || mire ment.>  || Ha lehet,  || kegyelmednek két hétre meg is küldöm az árát.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[!<A  bort is megírtam kegyelmednek,  || mire ment.>  || Ha lehet,  || kegyelmednek két hétre meg is küldöm az árát.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Az  Andrássi Péter halálát || <látja az én Istenem,>  ||hogy bizony szívem szerint bánom, || mert egy jóakarónkkal már kevesebb vagyon.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Az  Andrássi Péter halálát || <látja az én Istenem,>  ||hogy bizony szívem szerint bánom, || mert egy jóakarónkkal már kevesebb vagyon.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Az  Andrássi Péter halálát || <látja az én Istenem,>  ||hogy bizony szívem szerint bánom, || mert egy jóakarónkkal már kevesebb vagyon.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Bizony,  uram,  || ha kegyelmed az én szómat fogadná,  || kegyelmed odaküldené Csicseri Ambrust,  || mert őneki alkalmas lovai valának ?szegénynek.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Bizony,  uram,  || ha kegyelmed az én szómat fogadná,  || kegyelmed odaküldené Csicseri Ambrust,  || mert őneki alkalmas lovai valának ?szegénynek.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Bizony,  uram,  || ha kegyelmed az én szómat fogadná,  || kegyelmed odaküldené Csicseri Ambrust,  || mert őneki alkalmas lovai valának ?szegénynek.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Bizony,  uram,  || ha kegyelmed az én szómat fogadná,  || kegyelmed odaküldené Csicseri Ambrust,  || mert őneki alkalmas lovai valának ?szegénynek.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Egy  almás kese lova vala,  || kit Moldvából hoztak volt neki,  || kit énnekem szegény igen dicsért.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Egy  almás kese lova vala,  || kit Moldvából hoztak volt neki,  || kit énnekem szegény igen dicsért.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Egy  almás kese lova vala,  || kit Moldvából hoztak volt neki,  || kit énnekem szegény igen dicsért.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Nekem  az a ló tetszenék is, ?hertelistis  || a ló gyermekded, jó testű,  || azon kívül is két gyermek lova vala őmagának,  || igen szép,  || egyik egy vércsekék,  || a másik pej,  || de a pej jobb,  || mert azt ugyan tudom,  || ott kegyelmed könnyebben is hozzáférhet,  || hogynemmint másutt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Bizony  nem mondom,  || hogy kegyelmednek Erdélyből is jobbat hoznak annál,  || Krasznahorka nemigen messze.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Bizony  nem mondom,  || hogy kegyelmednek Erdélyből is jobbat hoznak annál,  || Krasznahorka nemigen messze.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Bizony  nem mondom,  || hogy kegyelmednek Erdélyből is jobbat hoznak annál,  || Krasznahorka nemigen messze.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[A  narancsot kegyednek megszolgálja az én ?atyafia,  || ha élhet.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[A  narancsot kegyednek megszolgálja az én ?atyafia,  || ha élhet.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Zabot  is készíttettem volt Kegyelmednek  || 75 köböl volt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Zabot  is készíttettem volt Kegyelmednek  || 75 köböl volt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Immár  azt sem tudom mind elküldeni,  || de kegyelmed azt a zabot megtartsa,  || akit küldtem volt azelőtt,  ||mert a mostani zab, || <ha küldhetek>  ||bizony vörös. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Immár  azt sem tudom mind elküldeni,  || de kegyelmed azt a zabot megtartsa,  || akit küldtem volt azelőtt,  ||mert a mostani zab, || <ha küldhetek>  ||bizony vörös. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Immár  azt sem tudom mind elküldeni,  || de kegyelmed azt a zabot megtartsa,  || akit küldtem volt azelőtt,  ||mert a mostani zab, || <ha küldhetek>  ||bizony vörös. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Immár  azt sem tudom mind elküldeni,  || de kegyelmed azt a zabot megtartsa,  || akit küldtem volt azelőtt,  ||mert a mostani zab, || <ha küldhetek>  ||bizony vörös. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Immár  azt sem tudom mind elküldeni,  || de kegyelmed azt a zabot megtartsa,  || akit küldtem volt azelőtt,  ||mert a mostani zab, || <ha küldhetek>  ||bizony vörös. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Maga  Isten látja,  || hogy ez idei,  || immár én nem tudom,  || mikor küldhetem el mind a búzát és mind a zabot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Maga  Isten látja,  || hogy ez idei,  || immár én nem tudom,  || mikor küldhetem el mind a búzát és mind a zabot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Maga  Isten látja,  || hogy ez idei,  || immár én nem tudom,  || mikor küldhetem el mind a búzát és mind a zabot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Maga  Isten látja,  || hogy ez idei,  || immár én nem tudom,  || mikor küldhetem el mind a búzát és mind a zabot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[A  búzát is ma akartam vala küldeni a munkácsi malomba,  || megengedte vala Rákóczi.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[A  búzát is ma akartam vala küldeni a munkácsi malomba,  || megengedte vala Rákóczi.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Az  este hozának Zétényből levelet,  || kibe azt írja Borbély Ferenc,  ||hogy Rákóczi || <amely szénát meg nem adtunk neki,>  ||hatalmasul elvett szénát kéreti szolgabíróval. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Az  este hozának Zétényből levelet,  || kibe azt írja Borbély Ferenc,  ||hogy Rákóczi || <amely szénát meg nem adtunk neki,>  ||hatalmasul elvett szénát kéreti szolgabíróval. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Az  este hozának Zétényből levelet,  || kibe azt írja Borbély Ferenc,  ||hogy Rákóczi || <amely szénát meg nem adtunk neki,>  ||hatalmasul elvett szénát kéreti szolgabíróval. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Az  este hozának Zétényből levelet,  || kibe azt írja Borbély Ferenc,  ||hogy Rákóczi || <amely szénát meg nem adtunk neki,>  ||hatalmasul elvett szénát kéreti szolgabíróval. ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Azt  is írja,  || hogy Balassi András engemet idéztetett mind feleségestül,  || hogy jobbágyát hatalmasul megfogtam.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Azt  is írja,  || hogy Balassi András engemet idéztetett mind feleségestül,  || hogy jobbágyát hatalmasul megfogtam.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Azt  is írja,  || hogy Balassi András engemet idéztetett mind feleségestül,  || hogy jobbágyát hatalmasul megfogtam.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Annak  a jobbágynak dolga vagyon pedig,  || hogy mi jobbágyunk gyermeke  || engedte volt szegény uram Ádám Andrásnak a Balassi Andrásné jobbágyának,  || mivelhogy Atyjafia volt a mi jobbágyunk gyermeke neki,  ||hogy, || <amíg felnő>  ||egynéhány esztendeig tartsa kezesség alatt, || adta a szegény uram neki.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Immár  most,  || hogy az inas oly korú,  || hogy mi [...]  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Immár  most,  || hogy az inas oly korú,  || hogy mi [...]  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Immár  most,  || hogy az inas oly korú,  || hogy mi [...]  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Balázst,  a drabantot is iktatni hagyták,  || hogy megfogta volt az inast.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Balázst,  a drabantot is iktatni hagyták,  || hogy megfogta volt az inast.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Egy  prókátor levelet is kegyelmed írasson  || ?Leleszt, || aki prókátorunk leszen,  || mert én is prókátort vallottam volt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Egy  prókátor levelet is kegyelmed írasson  || ?Leleszt, || aki prókátorunk leszen,  || mert én is prókátort vallottam volt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Egy  prókátor levelet is kegyelmed írasson  || ?Leleszt, || aki prókátorunk leszen,  || mert én is prókátort vallottam volt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Egy  prókátor levelet is kegyelmed írasson  || ?Leleszt, || aki prókátorunk leszen,  || mert én is prókátort vallottam volt.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Isten  tartson meg kegyelmedet!  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Írtam  Szentmiklóson, ma vasárnap 91  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[{\!lat!S[er]uitor et fr[ater]} ||  {\!lat!gen : Do. veŕ.} ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[{\!lat!S[er]uitor et fr[ater]} ||  {\!lat!gen : Do. veŕ.} ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[{\!lat!Joannes Thelegdy} ||]]  
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 *[[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
Tel. 61.	1591-02-?	1591			Telegdy János	Telegdy Mihály	nemes	 [[Ami  a Cseh János dolgát illeti,  || az soha, uram, nem leszen,  || hogy én őtet Szentmiklós tartományában részessé tegyem,  || mert anélkül sem sok,  || a szegény uram idejében is kezdte vala ezt,  || de akkor csak 4 ?kér vala,  || de hamar ?befalaták vele,  || hanem a zétényi házat adjuk neki,  ||és ahhoz || <amennyi föld lehet,>  ||annyit, || és mégis a tótok között két jobbágyot.  ||]] 
